조회기간,오프라인(매장),,,온라인,,,지역서점,,
,부수,종수,금액,부수,종수,금액,부수,종수,금액
21년 07월,"2,887,272","190,783","37,924,299,264","2,129,439","196,782","31,061,303,830","26,483","6,545","342,685,645"
21년 08월,"2,813,282","187,248","37,309,466,590","1,917,628","192,817","28,521,724,323","110,370","24,601","1,202,992,750"
21년 09월,"4,967,348","259,138","70,442,223,108","3,900,918","239,888","58,031,517,330","127,819","32,174","1,577,047,557"
21년 10월,"3,784,268","250,465","52,115,206,320","3,133,054","212,364","44,538,140,803","114,893","33,681","1,425,638,505"
21년 11월,"4,387,361","264,495","61,131,519,170","3,798,912","237,705","54,408,227,740","308,567","52,079","3,830,867,354"
21년 12월,"4,974,802","262,982","70,088,164,663","5,057,563","244,695","69,853,051,292","437,384","59,316","5,466,619,116"
22년 01월,"3,991,816","244,889","57,560,107,016","4,390,034","231,664","63,059,058,770","397,333","52,601","4,795,239,508"
22년 02월,"4,370,415","253,006","61,552,211,819","3,886,082","234,505","54,661,765,162","227,341","50,789","2,658,312,488"
22년 03월,"5,544,083","271,401","82,739,160,471","4,830,729","253,608","71,896,866,559","315,279","49,806","3,424,199,087"
22년 04월,"4,024,004","265,711","56,531,676,308","3,993,260","241,990","56,629,524,615","238,967","49,058","2,945,330,395"
22년 05월,"4,332,879","261,151","59,911,072,813","3,594,025","236,351","51,047,285,299","178,085","50,747","2,193,593,181"
22년 06월,"2,961,100","234,734","41,777,085,553","6,045,007","230,390","82,771,755,571","203,644","48,722","2,508,605,61"
